# Pre-generated synthetic data for Tutorial 01: Rescorla-Wagner Model
# Simulated Pavlovian conditioning task
# 100 trials, CS+ paired with US on 80% of trials
# Columns:
#   trial    - trial number (1-100)
#   cs       - conditioned stimulus presented (1=CS+, 0=CS-)
#   us       - unconditioned stimulus delivered (1=reward, 0=none)
#   optimal  - the "true" association strength (for validation)
trial,cs,us,optimal
1,1,1,0.0
2,1,1,0.1
3,1,0,0.19
4,1,1,0.171
5,1,1,0.254
6,1,1,0.329
7,1,0,0.396
8,1,1,0.356
9,1,1,0.421
10,1,0,0.479
11,1,1,0.431
12,1,1,0.488
13,1,1,0.539
14,1,0,0.585
15,1,1,0.527
16,1,1,0.574
17,1,1,0.617
18,1,1,0.655
19,1,0,0.69
20,1,1,0.621
21,1,1,0.659
22,1,1,0.693
23,1,1,0.724
24,1,0,0.751
25,1,1,0.676
26,0,0,0.709
27,1,1,0.709
28,1,1,0.738
29,1,0,0.764
30,1,1,0.688
31,1,1,0.719
32,1,1,0.747
33,1,1,0.772
34,1,0,0.795
35,1,1,0.716
36,1,1,0.744
37,1,1,0.77
38,1,1,0.793
39,1,1,0.814
40,1,0,0.832
41,1,1,0.749
42,1,1,0.774
43,1,0,0.797
44,1,1,0.717
45,1,1,0.745
46,1,1,0.771
47,1,1,0.794
48,1,1,0.814
49,1,0,0.833
50,1,1,0.75
51,0,0,0.775
52,1,1,0.775
53,1,1,0.797
54,1,1,0.818
55,1,0,0.836
56,1,1,0.752
57,1,1,0.777
58,1,1,0.799
59,1,1,0.819
60,1,0,0.837
61,1,1,0.753
62,1,1,0.778
63,1,1,0.8
64,1,0,0.82
65,1,1,0.738
66,1,1,0.764
67,1,1,0.788
68,1,1,0.809
69,1,1,0.828
70,1,0,0.845
71,1,1,0.761
72,1,1,0.785
73,1,1,0.806
74,1,1,0.826
75,1,0,0.843
76,0,0,0.759
77,1,1,0.759
78,1,1,0.783
79,1,1,0.805
80,1,1,0.824
81,1,0,0.842
82,1,1,0.758
83,1,1,0.782
84,1,1,0.804
85,1,1,0.823
86,1,1,0.841
87,1,0,0.857
88,1,1,0.771
89,1,1,0.794
90,1,1,0.815
91,1,0,0.833
92,1,1,0.75
93,1,1,0.775
94,1,1,0.797
95,1,1,0.818
96,1,0,0.836
97,1,1,0.752
98,1,1,0.777
99,1,1,0.799
100,1,1,0.819
