# Pre-generated synthetic data for Tutorial 02: Dual Learning Rate Model
# Simulated reward/punishment learning task
# 150 trials, 3 blocks: reward_learning (1-50), punishment_learning (51-100), mixed (101-150)
# Columns:
#   trial      - trial number (1-150)
#   stimulus   - stimulus type (1=reward-predictive, 2=punishment-predictive)
#   outcome    - actual outcome (+1=reward, -1=punishment, 0=nothing)
#   block      - task block (1=reward_learning, 2=punishment_learning, 3=mixed)
#   subject_id - simulated subject ID
trial,stimulus,outcome,block,subject_id
1,1,1,1,healthy_01
2,1,1,1,healthy_01
3,1,0,1,healthy_01
4,1,1,1,healthy_01
5,1,1,1,healthy_01
6,1,0,1,healthy_01
7,1,1,1,healthy_01
8,1,1,1,healthy_01
9,1,1,1,healthy_01
10,1,0,1,healthy_01
11,1,1,1,healthy_01
12,1,1,1,healthy_01
13,1,1,1,healthy_01
14,1,1,1,healthy_01
15,1,0,1,healthy_01
16,1,1,1,healthy_01
17,1,1,1,healthy_01
18,1,0,1,healthy_01
19,1,1,1,healthy_01
20,1,1,1,healthy_01
21,1,1,1,healthy_01
22,1,0,1,healthy_01
23,1,1,1,healthy_01
24,1,1,1,healthy_01
25,1,1,1,healthy_01
26,1,0,1,healthy_01
27,1,1,1,healthy_01
28,1,1,1,healthy_01
29,1,1,1,healthy_01
30,1,0,1,healthy_01
31,1,1,1,healthy_01
32,1,1,1,healthy_01
33,1,0,1,healthy_01
34,1,1,1,healthy_01
35,1,1,1,healthy_01
36,1,1,1,healthy_01
37,1,0,1,healthy_01
38,1,1,1,healthy_01
39,1,1,1,healthy_01
40,1,1,1,healthy_01
41,1,0,1,healthy_01
42,1,1,1,healthy_01
43,1,1,1,healthy_01
44,1,1,1,healthy_01
45,1,1,1,healthy_01
46,1,0,1,healthy_01
47,1,1,1,healthy_01
48,1,1,1,healthy_01
49,1,1,1,healthy_01
50,1,0,1,healthy_01
51,2,-1,2,healthy_01
52,2,-1,2,healthy_01
53,2,0,2,healthy_01
54,2,-1,2,healthy_01
55,2,-1,2,healthy_01
56,2,0,2,healthy_01
57,2,-1,2,healthy_01
58,2,-1,2,healthy_01
59,2,-1,2,healthy_01
60,2,0,2,healthy_01
61,2,-1,2,healthy_01
62,2,-1,2,healthy_01
63,2,0,2,healthy_01
64,2,-1,2,healthy_01
65,2,-1,2,healthy_01
66,2,-1,2,healthy_01
67,2,0,2,healthy_01
68,2,-1,2,healthy_01
69,2,-1,2,healthy_01
70,2,-1,2,healthy_01
71,2,0,2,healthy_01
72,2,-1,2,healthy_01
73,2,-1,2,healthy_01
74,2,-1,2,healthy_01
75,2,-1,2,healthy_01
76,2,0,2,healthy_01
77,2,-1,2,healthy_01
78,2,-1,2,healthy_01
79,2,-1,2,healthy_01
80,2,0,2,healthy_01
81,2,-1,2,healthy_01
82,2,-1,2,healthy_01
83,2,0,2,healthy_01
84,2,-1,2,healthy_01
85,2,-1,2,healthy_01
86,2,-1,2,healthy_01
87,2,0,2,healthy_01
88,2,-1,2,healthy_01
89,2,-1,2,healthy_01
90,2,-1,2,healthy_01
91,2,0,2,healthy_01
92,2,-1,2,healthy_01
93,2,-1,2,healthy_01
94,2,-1,2,healthy_01
95,2,-1,2,healthy_01
96,2,0,2,healthy_01
97,2,-1,2,healthy_01
98,2,-1,2,healthy_01
99,2,-1,2,healthy_01
100,2,0,2,healthy_01
101,1,1,3,healthy_01
102,2,-1,3,healthy_01
103,1,1,3,healthy_01
104,2,0,3,healthy_01
105,1,0,3,healthy_01
106,2,-1,3,healthy_01
107,1,1,3,healthy_01
108,2,-1,3,healthy_01
109,1,1,3,healthy_01
110,2,-1,3,healthy_01
111,1,0,3,healthy_01
112,2,-1,3,healthy_01
113,1,1,3,healthy_01
114,2,0,3,healthy_01
115,1,1,3,healthy_01
116,2,-1,3,healthy_01
117,1,1,3,healthy_01
118,2,-1,3,healthy_01
119,1,0,3,healthy_01
120,2,-1,3,healthy_01
121,1,1,3,healthy_01
122,2,-1,3,healthy_01
123,1,1,3,healthy_01
124,2,0,3,healthy_01
125,1,1,3,healthy_01
126,2,-1,3,healthy_01
127,1,0,3,healthy_01
128,2,-1,3,healthy_01
129,1,1,3,healthy_01
130,2,-1,3,healthy_01
131,1,1,3,healthy_01
132,2,-1,3,healthy_01
133,1,0,3,healthy_01
134,2,0,3,healthy_01
135,1,1,3,healthy_01
136,2,-1,3,healthy_01
137,1,1,3,healthy_01
138,2,-1,3,healthy_01
139,1,1,3,healthy_01
140,2,-1,3,healthy_01
141,1,0,3,healthy_01
142,2,-1,3,healthy_01
143,1,1,3,healthy_01
144,2,0,3,healthy_01
145,1,1,3,healthy_01
146,2,-1,3,healthy_01
147,1,1,3,healthy_01
148,2,-1,3,healthy_01
149,1,0,3,healthy_01
150,2,-1,3,healthy_01
