# Pre-generated synthetic data for Tutorial 03: Softmax & Exploration
# 2-armed bandit task, 200 trials
# Arm 0: p(reward)=0.3, Arm 1: p(reward)=0.7 during acquisition (trials 1-100)
# Reversal at trial 101: Arm 0: p(reward)=0.7, Arm 1: p(reward)=0.3
# Columns:
#   trial         - trial number (1-200)
#   choice        - chosen arm (0 or 1)
#   reward        - outcome (1=reward, 0=no reward)
#   p_reward_arm0 - true reward probability for arm 0
#   p_reward_arm1 - true reward probability for arm 1
#   phase         - task phase (acquisition or reversal)
trial,choice,reward,p_reward_arm0,p_reward_arm1,phase
1,0,0,0.3,0.7,acquisition
2,1,1,0.3,0.7,acquisition
3,1,1,0.3,0.7,acquisition
4,0,0,0.3,0.7,acquisition
5,1,1,0.3,0.7,acquisition
6,1,0,0.3,0.7,acquisition
7,1,1,0.3,0.7,acquisition
8,0,1,0.3,0.7,acquisition
9,1,1,0.3,0.7,acquisition
10,1,1,0.3,0.7,acquisition
11,1,0,0.3,0.7,acquisition
12,1,1,0.3,0.7,acquisition
13,1,1,0.3,0.7,acquisition
14,0,0,0.3,0.7,acquisition
15,1,1,0.3,0.7,acquisition
16,1,1,0.3,0.7,acquisition
17,1,0,0.3,0.7,acquisition
18,1,1,0.3,0.7,acquisition
19,1,1,0.3,0.7,acquisition
20,1,1,0.3,0.7,acquisition
21,1,0,0.3,0.7,acquisition
22,1,1,0.3,0.7,acquisition
23,0,0,0.3,0.7,acquisition
24,1,1,0.3,0.7,acquisition
25,1,1,0.3,0.7,acquisition
26,1,1,0.3,0.7,acquisition
27,1,0,0.3,0.7,acquisition
28,1,1,0.3,0.7,acquisition
29,1,1,0.3,0.7,acquisition
30,1,1,0.3,0.7,acquisition
31,0,1,0.3,0.7,acquisition
32,1,1,0.3,0.7,acquisition
33,1,0,0.3,0.7,acquisition
34,1,1,0.3,0.7,acquisition
35,1,1,0.3,0.7,acquisition
36,1,1,0.3,0.7,acquisition
37,1,0,0.3,0.7,acquisition
38,1,1,0.3,0.7,acquisition
39,1,1,0.3,0.7,acquisition
40,1,1,0.3,0.7,acquisition
41,1,0,0.3,0.7,acquisition
42,1,1,0.3,0.7,acquisition
43,1,1,0.3,0.7,acquisition
44,0,0,0.3,0.7,acquisition
45,1,1,0.3,0.7,acquisition
46,1,1,0.3,0.7,acquisition
47,1,1,0.3,0.7,acquisition
48,1,0,0.3,0.7,acquisition
49,1,1,0.3,0.7,acquisition
50,1,1,0.3,0.7,acquisition
51,1,1,0.3,0.7,acquisition
52,1,0,0.3,0.7,acquisition
53,1,1,0.3,0.7,acquisition
54,1,1,0.3,0.7,acquisition
55,0,0,0.3,0.7,acquisition
56,1,1,0.3,0.7,acquisition
57,1,1,0.3,0.7,acquisition
58,1,0,0.3,0.7,acquisition
59,1,1,0.3,0.7,acquisition
60,1,1,0.3,0.7,acquisition
61,1,1,0.3,0.7,acquisition
62,1,0,0.3,0.7,acquisition
63,1,1,0.3,0.7,acquisition
64,1,1,0.3,0.7,acquisition
65,1,1,0.3,0.7,acquisition
66,0,1,0.3,0.7,acquisition
67,1,1,0.3,0.7,acquisition
68,1,0,0.3,0.7,acquisition
69,1,1,0.3,0.7,acquisition
70,1,1,0.3,0.7,acquisition
71,1,1,0.3,0.7,acquisition
72,1,0,0.3,0.7,acquisition
73,1,1,0.3,0.7,acquisition
74,1,1,0.3,0.7,acquisition
75,1,1,0.3,0.7,acquisition
76,1,0,0.3,0.7,acquisition
77,1,1,0.3,0.7,acquisition
78,0,0,0.3,0.7,acquisition
79,1,1,0.3,0.7,acquisition
80,1,1,0.3,0.7,acquisition
81,1,0,0.3,0.7,acquisition
82,1,1,0.3,0.7,acquisition
83,1,1,0.3,0.7,acquisition
84,1,1,0.3,0.7,acquisition
85,1,0,0.3,0.7,acquisition
86,1,1,0.3,0.7,acquisition
87,1,1,0.3,0.7,acquisition
88,1,1,0.3,0.7,acquisition
89,0,0,0.3,0.7,acquisition
90,1,1,0.3,0.7,acquisition
91,1,1,0.3,0.7,acquisition
92,1,0,0.3,0.7,acquisition
93,1,1,0.3,0.7,acquisition
94,1,1,0.3,0.7,acquisition
95,1,1,0.3,0.7,acquisition
96,1,0,0.3,0.7,acquisition
97,1,1,0.3,0.7,acquisition
98,1,1,0.3,0.7,acquisition
99,1,1,0.3,0.7,acquisition
100,1,1,0.3,0.7,acquisition
101,1,0,0.7,0.3,reversal
102,1,0,0.7,0.3,reversal
103,1,1,0.7,0.3,reversal
104,1,0,0.7,0.3,reversal
105,0,1,0.7,0.3,reversal
106,1,0,0.7,0.3,reversal
107,1,1,0.7,0.3,reversal
108,1,0,0.7,0.3,reversal
109,0,1,0.7,0.3,reversal
110,0,1,0.7,0.3,reversal
111,1,0,0.7,0.3,reversal
112,0,0,0.7,0.3,reversal
113,0,1,0.7,0.3,reversal
114,1,0,0.7,0.3,reversal
115,0,1,0.7,0.3,reversal
116,0,1,0.7,0.3,reversal
117,0,0,0.7,0.3,reversal
118,0,1,0.7,0.3,reversal
119,1,1,0.7,0.3,reversal
120,0,1,0.7,0.3,reversal
121,0,0,0.7,0.3,reversal
122,0,1,0.7,0.3,reversal
123,0,1,0.7,0.3,reversal
124,1,0,0.7,0.3,reversal
125,0,1,0.7,0.3,reversal
126,0,1,0.7,0.3,reversal
127,0,0,0.7,0.3,reversal
128,0,1,0.7,0.3,reversal
129,0,1,0.7,0.3,reversal
130,1,0,0.7,0.3,reversal
131,0,1,0.7,0.3,reversal
132,0,0,0.7,0.3,reversal
133,0,1,0.7,0.3,reversal
134,0,1,0.7,0.3,reversal
135,0,1,0.7,0.3,reversal
136,1,0,0.7,0.3,reversal
137,0,0,0.7,0.3,reversal
138,0,1,0.7,0.3,reversal
139,0,1,0.7,0.3,reversal
140,0,1,0.7,0.3,reversal
141,0,0,0.7,0.3,reversal
142,0,1,0.7,0.3,reversal
143,1,0,0.7,0.3,reversal
144,0,1,0.7,0.3,reversal
145,0,1,0.7,0.3,reversal
146,0,0,0.7,0.3,reversal
147,0,1,0.7,0.3,reversal
148,0,1,0.7,0.3,reversal
149,0,1,0.7,0.3,reversal
150,1,0,0.7,0.3,reversal
